source,city,sensor_id,pm25,pm10,co2_ppm,aqi_value,aqi_category,health_risk,latitude,longitude,recorded_at,processed_at
iot_simulator,Karachi,PKS_KHI_IND_01,73.21,115.13,639.97,160.1,Unhealthy,HIGH,,,2026-07-12T10:14:31.812447+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_TRF_02,48.95,61.05,400.0,134.1,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:31.812490+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_RES_01,32.87,49.14,400.0,94.7,Moderate,LOW,,,2026-07-12T10:14:31.812550+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_IND_02,61.14,94.27,415.25,153.9,Unhealthy,HIGH,,,2026-07-12T10:14:31.812592+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_PRK_01,14.0,21.16,400.0,55.0,Moderate,LOW,,,2026-07-12T10:14:31.812632+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_TRF_02,41.45,60.35,507.04,115.7,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:31.812662+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_IND_01,72.62,115.75,510.75,159.8,Unhealthy,HIGH,,,2026-07-12T10:14:31.812697+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_RES_02,22.79,30.23,400.0,73.5,Moderate,LOW,,,2026-07-12T10:14:31.812735+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_TRF_01,53.68,66.24,400.0,145.8,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:31.812759+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_PRK_02,11.64,14.11,400.0,48.5,Good,LOW,,,2026-07-12T10:14:31.812779+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_IND_01,198.74,300.76,439.82,248.8,Very Unhealthy,HIGH,,,2026-07-12T10:14:43.152174+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_TRF_02,45.04,65.08,481.89,124.5,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:43.152203+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_RES_01,28.23,40.29,400.0,84.9,Moderate,LOW,,,2026-07-12T10:14:43.152219+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_IND_02,221.43,329.4,547.57,271.3,Very Unhealthy,HIGH,,,2026-07-12T10:14:43.152236+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_PRK_01,7.92,9.94,400.0,33.0,Good,LOW,,,2026-07-12T10:14:43.152251+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_TRF_02,49.2,63.28,438.87,134.7,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:43.152265+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_IND_01,215.35,258.11,537.26,265.3,Very Unhealthy,HIGH,,,2026-07-12T10:14:43.152279+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_RES_02,21.7,27.5,400.0,71.2,Moderate,LOW,,,2026-07-12T10:14:43.152293+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_TRF_01,40.21,49.46,530.12,112.6,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:43.152307+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_PRK_02,13.01,14.71,400.0,52.9,Moderate,LOW,,,2026-07-12T10:14:43.152320+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_IND_01,68.13,76.14,480.33,157.5,Unhealthy,HIGH,,,2026-07-12T10:14:53.968055+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_TRF_02,47.02,73.11,400.0,129.4,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:53.968084+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_RES_01,19.87,27.61,400.0,67.3,Moderate,LOW,,,2026-07-12T10:14:53.968103+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_IND_02,58.13,68.63,667.89,152.4,Unhealthy,HIGH,,,2026-07-12T10:14:53.968118+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_PRK_01,5.46,6.96,400.0,22.8,Good,LOW,,,2026-07-12T10:14:53.968132+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_TRF_02,47.78,58.57,440.15,131.2,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:53.968147+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_IND_01,84.55,94.1,650.98,166.0,Unhealthy,HIGH,,,2026-07-12T10:14:53.968161+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_RES_02,18.21,27.46,400.0,63.8,Moderate,LOW,,,2026-07-12T10:14:53.968175+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_TRF_01,48.21,69.7,481.88,132.3,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:14:53.968188+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_PRK_02,8.54,12.74,400.0,35.6,Good,LOW,,,2026-07-12T10:14:53.968203+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_IND_01,144.93,220.64,566.37,197.2,Unhealthy,HIGH,,,2026-07-12T10:15:04.441196+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_TRF_02,57.08,90.32,503.49,151.8,Unhealthy,HIGH,,,2026-07-12T10:15:04.441228+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_RES_01,27.96,37.37,400.0,84.4,Moderate,LOW,,,2026-07-12T10:15:04.441250+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_IND_02,77.93,118.62,610.11,162.6,Unhealthy,HIGH,,,2026-07-12T10:15:04.441272+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_PRK_01,7.84,10.66,400.0,32.7,Good,LOW,,,2026-07-12T10:15:04.441292+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_TRF_02,42.65,54.8,400.0,118.6,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:04.441311+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_IND_01,56.08,76.67,498.88,151.3,Unhealthy,HIGH,,,2026-07-12T10:15:04.441331+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_RES_02,20.23,30.21,400.0,68.1,Moderate,LOW,,,2026-07-12T10:15:04.441350+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_TRF_01,54.3,84.94,445.79,147.3,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:04.441370+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_PRK_02,11.76,15.13,400.0,49.0,Good,LOW,,,2026-07-12T10:15:04.441389+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_IND_01,68.0,90.74,401.19,157.5,Unhealthy,HIGH,,,2026-07-12T10:15:15.146973+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_TRF_02,51.14,65.33,439.0,139.5,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:15.147020+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_RES_01,22.0,26.8,400.0,71.8,Moderate,LOW,,,2026-07-12T10:15:15.147051+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_IND_02,75.49,107.85,705.26,161.3,Unhealthy,HIGH,,,2026-07-12T10:15:15.147079+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_PRK_01,9.46,11.29,400.0,39.4,Good,LOW,,,2026-07-12T10:15:15.147109+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_TRF_02,48.46,63.45,400.0,132.9,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:15.147135+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_IND_01,64.61,101.37,619.82,155.7,Unhealthy,HIGH,,,2026-07-12T10:15:15.147166+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_RES_02,25.29,30.5,400.0,78.7,Moderate,LOW,,,2026-07-12T10:15:15.147193+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_TRF_01,42.32,61.08,408.35,117.8,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:15.147219+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_PRK_02,27.13,34.6,400.0,82.6,Moderate,LOW,,,2026-07-12T10:15:15.147245+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_IND_01,56.67,86.94,443.59,151.6,Unhealthy,HIGH,,,2026-07-12T10:15:25.703606+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_TRF_02,123.49,144.99,458.5,186.1,Unhealthy,HIGH,,,2026-07-12T10:15:25.703634+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_RES_01,56.68,87.78,400.0,151.6,Unhealthy,HIGH,,,2026-07-12T10:15:25.703651+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_IND_02,94.19,146.64,491.11,171.0,Unhealthy,HIGH,,,2026-07-12T10:15:25.703666+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_PRK_01,9.33,14.47,400.0,38.9,Good,LOW,,,2026-07-12T10:15:25.703679+00:00,2026-07-12T11:25:50.677714+00:00
