sensor_id,city,zone_type,pm25,pm10,co2_ppm,temperature_c,humidity_pct,wind_speed_kmh,aqi_value,severity,recorded_at
PKS_KHI_IND_01,Karachi,industrial,73.21,115.13,639.97,30.88,68.97,56.51,160.1,UNHEALTHY,2026-07-12T10:14:31.812447+00:00
PKS_KHI_TRF_02,Karachi,traffic,48.95,61.05,400.0,23.0,32.78,22.74,134.1,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:31.812490+00:00
PKS_LHR_RES_01,Lahore,residential,32.87,49.14,400.0,26.53,42.11,57.25,94.7,MODERATE,2026-07-12T10:14:31.812550+00:00
PKS_LHR_IND_02,Lahore,industrial,61.14,94.27,415.25,26.87,75.0,46.59,153.9,UNHEALTHY,2026-07-12T10:14:31.812592+00:00
PKS_ISB_PRK_01,Islamabad,park,14.0,21.16,400.0,16.73,38.39,17.83,55.0,MODERATE,2026-07-12T10:14:31.812632+00:00
PKS_ISB_TRF_02,Islamabad,traffic,41.45,60.35,507.04,24.75,16.14,17.22,115.7,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:31.812662+00:00
PKS_PEW_IND_01,Peshawar,industrial,72.62,115.75,510.75,21.3,68.78,55.52,159.8,UNHEALTHY,2026-07-12T10:14:31.812697+00:00
PKS_PEW_RES_02,Peshawar,residential,22.79,30.23,400.0,21.26,12.84,38.24,73.5,MODERATE,2026-07-12T10:14:31.812735+00:00
PKS_MUL_TRF_01,Multan,traffic,53.68,66.24,400.0,23.4,54.21,57.67,145.8,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:31.812759+00:00
PKS_MUL_PRK_02,Multan,park,11.64,14.11,400.0,25.45,59.57,26.29,48.5,GOOD,2026-07-12T10:14:31.812779+00:00
PKS_KHI_IND_01,Karachi,industrial,198.74,300.76,439.82,30.11,55.61,31.36,248.8,VERY UNHEALTHY,2026-07-12T10:14:43.152174+00:00
PKS_KHI_TRF_02,Karachi,traffic,45.04,65.08,481.89,27.27,23.76,8.84,124.5,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:43.152203+00:00
PKS_LHR_RES_01,Lahore,residential,28.23,40.29,400.0,27.2,46.8,57.54,84.9,MODERATE,2026-07-12T10:14:43.152219+00:00
PKS_LHR_IND_02,Lahore,industrial,221.43,329.4,547.57,32.2,13.29,6.26,271.3,VERY UNHEALTHY,2026-07-12T10:14:43.152236+00:00
PKS_ISB_PRK_01,Islamabad,park,7.92,9.94,400.0,17.6,11.93,38.8,33.0,GOOD,2026-07-12T10:14:43.152251+00:00
PKS_ISB_TRF_02,Islamabad,traffic,49.2,63.28,438.87,24.46,88.31,19.0,134.7,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:43.152265+00:00
PKS_PEW_IND_01,Peshawar,industrial,215.35,258.11,537.26,21.29,46.87,45.04,265.3,VERY UNHEALTHY,2026-07-12T10:14:43.152279+00:00
PKS_PEW_RES_02,Peshawar,residential,21.7,27.5,400.0,24.65,44.23,18.63,71.2,MODERATE,2026-07-12T10:14:43.152293+00:00
PKS_MUL_TRF_01,Multan,traffic,40.21,49.46,530.12,22.05,39.26,58.99,112.6,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:43.152307+00:00
PKS_MUL_PRK_02,Multan,park,13.01,14.71,400.0,16.13,67.3,47.71,52.9,MODERATE,2026-07-12T10:14:43.152320+00:00
PKS_KHI_IND_01,Karachi,industrial,68.13,76.14,480.33,20.68,86.12,10.88,157.5,UNHEALTHY,2026-07-12T10:14:53.968055+00:00
PKS_KHI_TRF_02,Karachi,traffic,47.02,73.11,400.0,28.72,43.09,31.8,129.4,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:53.968084+00:00
PKS_LHR_RES_01,Lahore,residential,19.87,27.61,400.0,22.44,30.46,1.43,67.3,MODERATE,2026-07-12T10:14:53.968103+00:00
PKS_LHR_IND_02,Lahore,industrial,58.13,68.63,667.89,25.11,54.46,13.53,152.4,UNHEALTHY,2026-07-12T10:14:53.968118+00:00
PKS_ISB_PRK_01,Islamabad,park,5.46,6.96,400.0,17.81,48.94,10.15,22.8,GOOD,2026-07-12T10:14:53.968132+00:00
PKS_ISB_TRF_02,Islamabad,traffic,47.78,58.57,440.15,17.89,68.67,47.98,131.2,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:53.968147+00:00
PKS_PEW_IND_01,Peshawar,industrial,84.55,94.1,650.98,25.47,36.52,2.72,166.0,UNHEALTHY,2026-07-12T10:14:53.968161+00:00
PKS_PEW_RES_02,Peshawar,residential,18.21,27.46,400.0,19.55,18.51,3.83,63.8,MODERATE,2026-07-12T10:14:53.968175+00:00
PKS_MUL_TRF_01,Multan,traffic,48.21,69.7,481.88,20.26,59.83,25.58,132.3,UNHEALTHY FOR SENSITIVE,2026-07-12T10:14:53.968188+00:00
PKS_MUL_PRK_02,Multan,park,8.54,12.74,400.0,19.12,40.41,50.86,35.6,GOOD,2026-07-12T10:14:53.968203+00:00
PKS_KHI_IND_01,Karachi,industrial,144.93,220.64,566.37,31.42,14.97,31.03,197.2,UNHEALTHY,2026-07-12T10:15:04.441196+00:00
PKS_KHI_TRF_02,Karachi,traffic,57.08,90.32,503.49,21.51,12.54,12.26,151.8,UNHEALTHY,2026-07-12T10:15:04.441228+00:00
PKS_LHR_RES_01,Lahore,residential,27.96,37.37,400.0,19.36,13.75,32.69,84.4,MODERATE,2026-07-12T10:15:04.441250+00:00
PKS_LHR_IND_02,Lahore,industrial,77.93,118.62,610.11,31.17,22.43,34.8,162.6,UNHEALTHY,2026-07-12T10:15:04.441272+00:00
PKS_ISB_PRK_01,Islamabad,park,7.84,10.66,400.0,22.93,28.04,25.99,32.7,GOOD,2026-07-12T10:15:04.441292+00:00
PKS_ISB_TRF_02,Islamabad,traffic,42.65,54.8,400.0,23.52,19.69,29.26,118.6,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:04.441311+00:00
PKS_PEW_IND_01,Peshawar,industrial,56.08,76.67,498.88,28.48,33.56,47.55,151.3,UNHEALTHY,2026-07-12T10:15:04.441331+00:00
PKS_PEW_RES_02,Peshawar,residential,20.23,30.21,400.0,28.38,72.72,45.05,68.1,MODERATE,2026-07-12T10:15:04.441350+00:00
PKS_MUL_TRF_01,Multan,traffic,54.3,84.94,445.79,24.35,30.36,7.44,147.3,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:04.441370+00:00
PKS_MUL_PRK_02,Multan,park,11.76,15.13,400.0,19.14,85.24,26.03,49.0,GOOD,2026-07-12T10:15:04.441389+00:00
PKS_KHI_IND_01,Karachi,industrial,68.0,90.74,401.19,22.28,37.18,38.93,157.5,UNHEALTHY,2026-07-12T10:15:15.146973+00:00
PKS_KHI_TRF_02,Karachi,traffic,51.14,65.33,439.0,24.82,23.23,6.2,139.5,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:15.147020+00:00
PKS_LHR_RES_01,Lahore,residential,22.0,26.8,400.0,23.45,45.88,10.12,71.8,MODERATE,2026-07-12T10:15:15.147051+00:00
PKS_LHR_IND_02,Lahore,industrial,75.49,107.85,705.26,23.42,14.13,1.76,161.3,UNHEALTHY,2026-07-12T10:15:15.147079+00:00
PKS_ISB_PRK_01,Islamabad,park,9.46,11.29,400.0,19.52,33.05,18.21,39.4,GOOD,2026-07-12T10:15:15.147109+00:00
PKS_ISB_TRF_02,Islamabad,traffic,48.46,63.45,400.0,21.87,53.49,53.21,132.9,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:15.147135+00:00
PKS_PEW_IND_01,Peshawar,industrial,64.61,101.37,619.82,29.68,27.72,25.7,155.7,UNHEALTHY,2026-07-12T10:15:15.147166+00:00
PKS_PEW_RES_02,Peshawar,residential,25.29,30.5,400.0,24.93,62.24,30.99,78.7,MODERATE,2026-07-12T10:15:15.147193+00:00
PKS_MUL_TRF_01,Multan,traffic,42.32,61.08,408.35,23.95,81.29,14.9,117.8,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:15.147219+00:00
PKS_MUL_PRK_02,Multan,park,27.13,34.6,400.0,15.74,17.21,27.1,82.6,MODERATE,2026-07-12T10:15:15.147245+00:00
PKS_KHI_IND_01,Karachi,industrial,56.67,86.94,443.59,24.52,37.83,31.68,151.6,UNHEALTHY,2026-07-12T10:15:25.703606+00:00
PKS_KHI_TRF_02,Karachi,traffic,123.49,144.99,458.5,23.9,47.4,18.9,186.1,UNHEALTHY,2026-07-12T10:15:25.703634+00:00
PKS_LHR_RES_01,Lahore,residential,56.68,87.78,400.0,21.69,65.24,21.72,151.6,UNHEALTHY,2026-07-12T10:15:25.703651+00:00
PKS_LHR_IND_02,Lahore,industrial,94.19,146.64,491.11,30.85,76.78,59.44,171.0,UNHEALTHY,2026-07-12T10:15:25.703666+00:00
PKS_ISB_PRK_01,Islamabad,park,9.33,14.47,400.0,21.45,74.93,50.75,38.9,GOOD,2026-07-12T10:15:25.703679+00:00
PKS_ISB_TRF_02,Islamabad,traffic,40.85,46.5,510.21,29.4,17.63,6.79,114.2,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:25.703693+00:00
PKS_PEW_IND_01,Peshawar,industrial,57.37,83.73,692.18,27.81,23.33,49.3,152.0,UNHEALTHY,2026-07-12T10:15:25.703708+00:00
PKS_PEW_RES_02,Peshawar,residential,26.82,35.43,400.0,23.43,56.57,10.72,82.0,MODERATE,2026-07-12T10:15:25.703724+00:00
PKS_MUL_TRF_01,Multan,traffic,48.58,62.25,427.76,25.15,23.9,23.54,133.2,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:25.703737+00:00
PKS_MUL_PRK_02,Multan,park,31.41,43.31,400.0,17.55,78.96,14.91,91.6,MODERATE,2026-07-12T10:15:25.703753+00:00
PKS_KHI_IND_01,Karachi,industrial,64.8,85.92,526.35,22.63,49.08,35.76,155.8,UNHEALTHY,2026-07-12T10:15:36.541442+00:00
PKS_KHI_TRF_02,Karachi,traffic,50.53,70.24,505.82,24.26,44.06,52.34,138.0,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:36.541471+00:00
PKS_LHR_RES_01,Lahore,residential,25.53,31.81,400.0,16.41,34.29,12.5,79.2,MODERATE,2026-07-12T10:15:36.541487+00:00
PKS_LHR_IND_02,Lahore,industrial,88.2,130.99,673.95,24.17,69.18,28.43,167.9,UNHEALTHY,2026-07-12T10:15:36.541502+00:00
PKS_ISB_PRK_01,Islamabad,park,12.41,18.4,400.0,18.59,52.2,52.18,51.7,MODERATE,2026-07-12T10:15:36.541515+00:00
PKS_ISB_TRF_02,Islamabad,traffic,44.71,70.56,460.64,24.7,88.36,38.08,123.7,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:36.541528+00:00
PKS_PEW_IND_01,Peshawar,industrial,172.69,207.38,618.15,27.16,39.9,25.01,223.0,VERY UNHEALTHY,2026-07-12T10:15:36.541543+00:00
PKS_PEW_RES_02,Peshawar,residential,50.93,80.8,400.0,26.53,14.25,46.74,139.0,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:36.541556+00:00
PKS_MUL_TRF_01,Multan,traffic,38.48,57.06,400.0,18.41,35.65,12.58,108.3,UNHEALTHY FOR SENSITIVE,2026-07-12T10:15:36.541569+00:00
PKS_MUL_PRK_02,Multan,park,14.41,22.83,400.0,19.53,33.64,49.52,55.9,MODERATE,2026-07-12T10:15:36.541584+00:00
